Tanggal,Total,Detail,Nomor nota
2025-12-06T18:38:25.329+07:00,135000,"roti, 6 buah
wafer, 12 buah
teh botol, 5 buah
cilok, 3 buah",UWU-1765021105329
2025-12-06T18:49:33.226+07:00,137000,"wafer, 1 buah
cilok, 7 buah
teh botol, 6 buah",UWU-1765021773226
2025-12-06T18:54:03.994+07:00,900000,"roti, 6 buah
wafer, 9 buah
teh botol, 4 buah
cilok, 90 buah",UWU-1765022043994
2025-12-07T17:52:18.958+07:00,900000,"roti, 6 buah
wafer, 9 buah
teh botol, 4 buah
cilok, 90 buah",UWU-1765104738958
2025-12-07T17:55:34.015+07:00,168000,"roti, 6 buah
waffer, 9 buah
teh botol, 4 buah",UWU-1765104934015
2025-12-07T18:25:11.111+07:00,0,"wafer, 7 buah
roti, 5 buah",UWU-1765106711111
2025-12-07T18:29:49.459+07:00,34000,"wafer, 7 buah
roti, 5 buah",UWU-1765106989459
2025-12-07T18:33:18.725+07:00,1813000,"roti, 30 buah
wafer, 80 buah
teh botol, 109 buah
cilok, 25 buah",UWU-1765107198725
2025-12-07T18:42:14.850+07:00,1365000,"jamur, 105 buah",UWU-1765107734850
2025-12-07T18:43:21.801+07:00,1170000,"jamur, 90 buah",UWU-1765107801801
2025-12-07T20:29:26.934+07:00,28000,"roti, 7 buah",UWU-1765114166934
